"Date","City","State","Type","Description"
"04/13/2011","Hardy","AR","Legal Developments","Five people were indicted on charges related to the fire-bombing of an interracial couple's home."
"04/13/2011","Springfield","MA","Legal Developments","A white man was convicted for the racially motived burning of a predominantly black church just hours after Barack Obama was elected president in 2008."
"04/12/2011","Wisconsin Dells","WI","Vandalism","Two swastikas were spray-painted on a Native American church."
"04/08/2011","Plains","OH","Leafletting","KKK fliers were left in yards."
"04/08/2011","Rock Hill","SC","Assault","Bobby Wilson, 30; Cortezio Laquise Douglas and Darenco Markie Wilmore, both 21; and Lajames Mitchell and Lortarius Duncan, both 22, were all charged with assault and battery of a high and aggravated nature for allegedly calling a gay man an anti-gay slur then hitting him in the head with a beer bottle and beating him."
"04/05/2011","Coto de Caza","CA","Assault","A man was allegedly beaten and robbed in a park by two men who shouted anti-Semitic epithets. Matthew Gregory Branstetter and Nolan John Wickham, both 19, were charged with aggravated assault and second-degree robbery with hate crime enhancements."
"03/15/2011","Hardy","AR","Legal Developments","Two racist skinheads were arrested for throwing a molotov cocktail at an interracial couple's home."
"03/15/2011","Bonita Springs","FL","Leafletting","The neo-Nazi group American National Socialist Party left 200 pamphlets in a neighborhood."
"03/15/2011","Bloomington","IL","Leafletting","The Ku Klux Klan left pamphlets in driveways."
"03/13/2011","Queens","NY","Murder","A teenager was beaten to death by five other teenagers after he left a party hosted by two gay men."
"03/07/2011","Martinsville","IN","Leafletting","Copies of the Ku Klux Klan publication The Crusader were left in driveways."
"03/07/2011","Sellersburg","IN","Assault","A gay teen was assaulted in a school restroom. His assailant used anti-gay slurs during the attack."
"03/06/2011","Casa Grande","AZ","Vandalism","The words ""we must secure the existence of our people and a future for white children"" was painted on the side of a house. The phrase is known as the ""14 words"" among white supremacists."
"03/04/2011","York","PA","Leafletting","The neo-Nazi National Socialist American Labor Party group distributed fliers."
"03/04/2011","Orange County","VA","Leafletting","KKK Fliers were left in driveways."
"03/04/2011","Seattle","WA","Legal Developments","Jonathan Baquiring was sentenced to six years in prison for attacking a West Seattle teen. Baquiring and Ahmed Mohamed attacked the teen ""because he was a different race than we are,"" according to Mohamed's guilty plea for the same crime in December 2010. The victim is white."
"03/03/2011","Los Angeles","CA","Vandalism","A swastika was drawn on the sidewalk in front of a landmark Jewish Temple."
"03/03/2011","Marengo","OH","Cross Burnings","A burned cross was left in a front yard. The phrase ""KKK will make you pay"" was carved into the cross."
"03/02/2011","Springettsbury Township","PA","Leafletting","The neo-Nazi National Socialist American Labor Party left brochures on cars."
"02/27/2011","Lafayette","LA","Vandalism","Racial slurs were spray painted on the Immaculate Heart of Mary church and school."
"02/23/2011","Pikeville","KY","Leafletting","Ku Klux Klan membership applications were distributed around town."
"02/23/2011","Wilkes Barre","PA","Legal Developments","Two men were sentenced to nine years in prison for beating and kicking a Mexican immigrant to death."
"02/23/2011","Fort Worth","TX","Legal Developments","A man was indicted for vandalizing a mosque."
"02/22/2011","Pima County","AZ","Legal Developments","Shawna Forde, leader of the Minutemen American Defense, was sentenced to death in the killing of a 9-year-old girl and her father."
"02/21/2011","Spokane","WA","Vandalism","A burned bible and painted swastikas were found on vehicles and a house."
"02/18/2011","Long Beach","CA","Vandalism","A man was arrested for vandalizing gay and lesbian-owned businesses."
"02/15/2011","Tamarac","FL","Assault","Three men called a gay man ""faggot"" and ""gay boy,"" then punched him in the face."
"02/14/2011","Burbank","CA","Leafletting","Flyers from the neo-Nazi National Alliance were left on lawns."
"02/14/2011","Lafayette","LA","Vandalism","Racist graffiti was painted on St. James Baptist Church."
"02/14/2011","Columbia","MO","Vandalism","A University of Missouri-Columbia student sprayed racist graffiti, including the N-word, on school property."
"02/12/2011","Gate City","VA","Rally","Several Ku Klux Klan members and supporters gathered to protest the recent discipline of three white students."
"02/10/2011","Pittsburgh","PA","Legal Developments","A teenager pleaded guilty to burning a cross in the yard of a mixed-race family in November 2009."
"02/07/2011","New York","NY","Harassment","A black firefighter who filed a bias complaint found a noose hanging on his locker."
"02/06/2011","Tampa","FL","Assault","A Muslim man was stabbed after a discussion about religion."
"02/05/2011","Franconia","PA","Vandalism","Swastikas and ""Jew"" were spray painted onto a house and cars."
"02/04/2011","Opelika","AL","Assault","A lesbian and her friend were beaten up by several people at a bar because of her sexual orientation."
"02/02/2011","Hollywood","CA","Vandalism","A Church's sign supporting marriage equality was vandalized."
"01/30/2011","Rowland Heights","CA","Vandalism","Racist graffiti was painted on two local churches."
"01/29/2011","Tacoma","WA","Legal Developments","A white supremacist was sentenced to 34 months in prison for a racially motivated attack on a black man in a bar."
"01/27/2011","Wauwatosa","MN","Leafletting","Several homes received white supremacist hate literature."
"01/27/2011","Raleigh","NC","Harassment","A man is being charged with ethnic intimidation after he pulled a knife on a woman while using racist language."
"01/26/2011","Phoenix","AZ","Legal Developments","A man with ties to the National Socialist Movement was arrested for possession of explosive devices."
"01/26/2011","San Francisco","CA","Threat","State Senator Yee received death threats including a graphic of an American flag adorned pickup truck dragging a noose."
"01/26/2011","Shreveport","LA","Assault","A gay man was severely beaten with a pool cue in a bar."
"01/25/2011","San Diego","CA","Vandalism","An LGBT center was targeted in a paintball attack."
"01/25/2011","Ridgewood","NJ","Threat","A man with neo-Nazi ties was charged with threatening the director of the New York chapter of the Anti-Defamation League."
"01/25/2011","Ft. Worth","TX","Legal Developments","Timothy Stephen Lee, a leader in the Aryan Brotherhood of Texas, was sentenced to life in federal prison without parole for drug possession charges."
"01/24/2011","Carroll County","GA","Arson","A rock was thrown through a gay man's window then his bedroom was set on fire."
"01/17/2011","Billings","MT","Leafletting","Creativity Movement fliers were distributed during Montana State University's MLK day celebration."
"01/13/2011","Springfield","MO","Vandalism","Racist graffiti was painted on an Islamic center."
"01/12/2011","Santa Ana","CA","Vandalism","Racist graffiti was sprayed on a county building."
"01/12/2011","Anaheim","CA","Vandalism","Anti-religious graffiti was painted on a church."
"01/11/2011","Waterbury","CT","Vandalism","A large swastika was spray-painted on a synagogue."
"01/04/2011","Manhattan","NY","Threat","An Upper West Side synagogue received a bomb threat in the mail."
"12/30/2010","Flushing","NY","Vandalism","The Queens College Gay Straight Alliance was vandalized with hate messages and gay slurs."
"12/30/2010","Tulsa","OK","Harassment","A man sent an intimidating letter to the Islamic Peace Academy and posted a video online showing himself desecrating a Quran."
"12/26/2010","Austin","TX","Assault","Two gay men were assaulted by five men yelling homophobic slurs."
"12/24/2010","Twin Falls","ID","Harassment","A Muslim woman was verbally harassed by a man shouting anti-Muslim sentiments."
"12/20/2010","Columbus","OH","Assault","A Muslim woman was attacked with pepper spray."
"11/18/2010","York","PA","Legal Developments","A known white supremacist was charged with illegally possessing body armor."
"11/15/2010","Nassau County","NY","Vandalism","Three teens posted white supremacist stickers that read ""White Power"" and ""Don't Blame Me, I Voted for Hitler,"" around a neighborhood."
"11/13/2010","Phoenix","AZ","Rally","The National Socialist Movement rallied against illegal immigration."
"11/03/2010","Billings","MT","Legal Developments","Allen Goff, the leader of a Billings white-supremacist group, was charged with felony assault with weapon."
"10/28/2010","Couer d'Alene","ID","Legal Developments","Two brothers  were found guilty of racially harassing and threatening a Hispanic man in August 2009."
"10/27/2010","Pasadena","CA","Vandalism","A swastika and other racial slurs were discovered written across the door of an African American man's apartment."
"10/24/2010","Albuquerque","NM","Leafletting","Ku Klux Klan recruitment letters were found on doorsteps in a neighborhood."
"10/23/2010","Augusta","GA","Rally","KKK members and representatives from the Supreme White Alliance rallied at Augusta State University."
"10/21/2010","Hardwick Township","NJ","Vandalism","A swastika was painted along a public roadway."
"10/20/2010","Tucson","AZ","Threat","The congressional office of Rep. Raul Grijalva (D-Ariz.) received a suspicious package, covered in swastikas, containing a “confirmed” toxic substance."
"10/18/2010","Vancouver","WA","Leafletting","A Clark College student in a National Socialist Movement uniform with swastika emblems distributed ""white and proud"" fliers."
"10/11/2010","Columbia","SC","Vandalism","An Islamic center in South Carolina was defaced with bacon strips."
"10/07/2010","Martinsville","IN","Leafletting","Klu Klux Klan newsletters were placed on doorsteps."
"10/07/2010","Bronx","NY","Assault","Seven men were arrested after they attacked two teenagers and a 30-year-old man they suspected of being gay."
"09/30/2010","Maysville","MO","Legal Developments","A man has been sentenced to two years in prison for burning a cross on his neighbor's yard."
"09/27/2010","Flagler County","FL","Leafletting","Racist fliers were left around a neighborhood."
"09/11/2010","Ellijay","GA","Rally","Ku Klux Klan members rallied to condemn illegal immigration, homosexuality, sex offenders, blacks and President Barack Obama."
"09/09/2010","Thousand Oaks","CA","Vandalism","Racist graffiti and swastikas were painted on garage doors and cars."
"09/09/2010","Bethany Beach","DE","Leafletting","Fliers were distributed promoting a ""White Patriot Day"" to be hosted by Aryan Nations."
"09/04/2010","Redlands","CA","Assault","Three men claiming to be white supremacists attacked a 16-year-old boy because of this dark complexion."
"08/30/2010","Carlton","NY","Harassment","Five teenagers drove in front of the World Sufi Foundation mosque while honking car horns and yelling obscenities during a religious service."
"08/29/2010","Mobile","AL","Legal Developments","A man pleaded guilty to vandalizing a local Messianic Jewish house of worship and having the makings of a homemade bomb."
"08/20/2010","Beaumont","TX","Legal Developments","Two alleged members of the Aryan Brotherhood of Texas have been indicted and arrested in connection with a 2008 murder in Liberty County."
"07/29/2010","Shreveport","LA","Legal Developments","Three people were charged in a cross-burning incident at the home of an interracial couple."
"07/28/2010","San Diego","CA","Harassment","A noose was found in a campus building of UCSD."
"07/27/2010","Oak Park","CA","Vandalism","""Get out of Oak Park"" was painted on a synagogue."
"07/25/2010","Wilmington","DE","Vandalism","""Go home"" was spray painted on the Korean United Methodist Church."
"07/25/2010","Olney","MD","Vandalism","Swastikas, ""Kill Jews"" and the words ""Arbeit Macht Frei"" were spray painted on a synagogue. ""Arbeit Macht Frei"" means ""work will set you free""; the words that were painted above the entrance to Auschwitz concentration camp."
"07/20/2010","Des Moines","IA","Vandalism","Vandals painted a swastika and the letters ""KKK"" on a man's truck."
"07/20/2010","Newark","NJ","Murder","Three teens beat a Salvadoran immigrant to death."
"07/18/2010","Santa Ana","CA","Legal Developments","Two white men who attacked a Hispanic janitor outside a hamburger stand in 2007 must pay $50,000 to the victim."
"07/18/2010","Dummerston","VT","Vandalism","Swastikas and racist messages were spray-painted on a covered bridge."
"07/16/2010","Newberry","SC","Rally","The New Black Panther Party marched in response to the dragging death of a black man."
"07/15/2010","Oak Ridge","TN","Vandalism","Obscene words and phrases were written on statues at St. Mary's Catholic Church."
"07/14/2010","New Orleans","LA","Legal Developments","A man accused of shooting and wounding three black men in Hurricane Katrina's aftermath has been charged with a federal hate crime."
"07/12/2010","Buffalo","NY","Vandalism","Dozens of swastikas were painted on a house."
"07/07/2010","Victorville","CA","Legal Developments","Two teenagers accused of shouting racial slurs and assaulting a black family pleaded guilty."
"07/07/2010","Colorado Springs","CO","Legal Developments","A prospect member of the American Nazi Party was found guilty of first-degree murder and attempted robbery."
"07/06/2010","Detroit","MI","Threat","Handwritten letters containing racial slurs and threats were sent to African-American families."
"06/29/2010","Stratford","CT","Legal Developments","A man associated with the Connecticut White Wolves gang pleaded guilty to charges related to a plot to provide weapons, including hand grenades, to other white supremacists."
"06/28/2010","Sacramento","CA","Legal Developments","Georgia Silva, 52, and her husband, Joseph Silva, 56, were sentenced to 18 months in federal prison for shouting ethnic slurs and beating a native of India at a South Lake Tahoe beach in July 2007."
"06/28/2010","Coeur d'Alene","ID","Leafletting","Two males posted swastikas and other racist material on utility poles along a portion of Highway 95."
"06/28/2010","Falling Waters","WV","Leafletting","Aryan Nations flyers were left at houses in a neighborhood."
"06/27/2010","Brooklyn","NY","Legal Developments","Keith Phoenix, 30, was convicted of murder as a hate crime for beating to death Ecuadorean immigrant Jose Sucuzhanay in 2008 because of the victim's ethnicity and because Phoenix thought Sucuzhanay and his brother were gay."
"06/25/2010","Staten Island","NY","Assault","Four teenagers were arrested for beating a Mexican man."
"06/24/2010","Costa Mesa","CA","Legal Developments","Ronald Allen Bramlett, a 65-year- old white man, was sentenced to eight years in prison for using racial slurs and threatening a 16- year-old black youth with a knife outside a drugstore in December."
"06/24/2010","Bellevue","WA","Vandalism","A van parked near a mosque and bearing advertisements about Islam was smeared with what appeared to be dog feces."
"06/23/2010","Downsville","LA","Legal Developments","Robert Jackson, 37, pleaded guilty to violating the Fair Housing Act by intimidating and interfering with another's housing rights because of race after he placed a hangman's noose in the carport of a family who had black visitors in 2008."
"06/23/2010","Richmond","NY","Assault","A Mexican immigrant man was allegedly punched in the eye by three black men."
"06/23/2010","Warwick","RI","Legal Developments","A man who spray-painted a swastika and a racial slur on a synagogue was arraigned on a felony charge of desecration."
"06/23/2010","Lebanon","TN","Vandalism","A picture of a man hanging from a noose and a racial slur were drawn on an African-American couple's front door."
"06/23/2010","Olympia","WA","Vandalism","A 9-foot menorah was knocked over and the words ""Die Jew"" were spray-painted at its base."
"06/23/2010","Seattle","WA","Vandalism","A van with pro-Islam graphics parked near a Bellevue mosque was smeared with feces."
"06/22/2010","Murfreesboro","TN","Vandalism","A sign marking the future site of an Islamic Center was vandalized for the second time in less than six months."
"06/22/2010","Kyle","TX","Vandalism","Racist graffiti was spray-painted on five vehicles and one house."
"06/21/2010","Fresno","CA","Vandalism","A swastika was carved into an African-American family's fence."
"06/21/2010","Coeur d'Alene","ID","Harassment","A human rights activist found a noose hanging in her carport."
"06/21/2010","Springfield","MA","Legal Developments","The second defendant in an election-day church burning pleaded guilty."
"06/20/2010","Victorville","CA","Threat","Tommy Lee Rhea, 19, and Richard Butler Cambria, 17, were accused of shouting racial slurs and threatening a black family with a knife and baseball bats. Rhea pled guilty to assault with a deadly weapon and admitted to participation in a criminal street gang and was sentenced to four years in prison. Cambria pled guilty to assault with force likely to cause great bodily injury and is awaiting sentencing. Neo-Nazi and gang writings and graffiti were allegedly found in Rhea's residence."
"06/19/2010","Palm Springs","CA","Vandalism","A 14-year-old boy was charged with suspicion of vandalism and damaging property to violate civil rights for allegedly spray-painting derogatory statements and pictures on homes and vehicles of several residents that referred to the victims' perceived sexual orientation."
"06/19/2010","Ventura","CA","Assault","Matt Engeman, 54, was arrested on suspicion of assault with a deadly weapon, making criminal threats, resisting an officer and a misdemeanor hate crime charge for allegedly attacking his landlord and using racial slurs against him in front of police."
"06/19/2010","Gettysburg","PA","Rally","A dozen white supremacists rallied at Gettysburg National Military Park."
"06/16/2010","Denham Springs","LA","Legal Developments","Jason Fallon, 52, was charged with a hate crime, aggravated assault with a firearm and illegal use of a weapon after he allegedly used racial slurs and threatened a black man while armed."
"06/12/2010","Spokane","WA","Vandalism","A woman with four bi-racial children found a swastika painted on her front door."
"06/11/2010","Sunnyvale","CA","Assault","Teenagers assaulted a Muslim man while calling him a ""terrorist."""
"06/11/2010","Savannah","GA","Assault","A gay man was knocked unconscious by two U.S. Marines who thought he winked at them."
"06/11/2010","Estill Springs","TN","Rally","The North Georgia White Knights of The Ku Klux Klan held a rally."
"06/10/2010","Skillman","NJ","Legal Developments","John Memmel, 37, was sentenced to five years in jail for pulling alongside a black family in a car, pointing a fake handgun at them and using a racial slur while threatening to kill them in 2007."
"06/09/2010","Portland","OR","Assault","Five people were arrested after attacking a gay man and using anti-gay slurs while beating him."
"06/09/2010","Martinsburg","WV","Legal Developments","Kendra Sulick, 38, was convicted of three civil rights violations for harassing her black neighbors with racial slurs and threats between December 2007 and April 2009."
"06/07/2010","Pontiac","MI","Legal Developments","Three men were sentenced to jail for burning a cross in the yard of a black family."
"06/05/2010","Las Vegas","NV","Rally","Members of the National Socialist Movement, a neo-Nazi group, marched downtown."
"06/05/2010","Waverly","PA","Harassment","Bryan T. Holland, 21, was arrested for allegedly making racist comments and using his cell phone to send a woman a photo of him wearing a white hood and holding a drawing of a  swastika."
"06/04/2010","Raleigh","NC","Vandalism","Satanic graffiti was scrawled in a church that was also vandalized."
"06/04/2010","Brooklyn","NY","Threat","Luis Newman, 43, was charged with menacing as a hate crime and possession of a weapon for allegedly yelling anti-gay comments at two men while slashing at them with a knife."
"06/03/2010","Warwick","RI","Vandalism","Racist graffiti was painted on a synagogue."
"06/03/2010","Grapevine","TX","Threat","Thomas M. Fann, 57, was arrested after he allegedly grabbed a black power company representative around the neck and yelled racial slurs. Fann may be charged with making a terrorist threat."
"06/02/2010","Warwick","RI","Legal Developments","Ryan Johnson, 20, and a teenager were charged with simple vandalism for allegedly spray-painting a swastika on a a synagogue."
"06/02/2010","Newberry","SC","Murder","A man was arrested for murdering a black man and dragging the victim's body behind a pickup truck."
"06/02/2010","Madison","TN","Vandalism","""KKK"" and a swastika were painted on a driveway."
"06/01/2010","Santa Ana","CA","Assault","An Iranian man attacked two Latinos in a car at an intersection."
"06/01/2010","Nashville","TN","Vandalism","A swastika and the letters `KKK` were spray-painted on a black woman's driveway and at a Latino neighbor's residence."
"05/30/2010","Moreno Valley","CA","Vandalism","Vandals painted satanic symbols on a church bus."
"05/29/2010","Moreno Valley","CA","Vandalism","Satanic symbols were spray-painted on a church bus."
"05/29/2010","Frankfort Township","IL","Rally","After reports that a “white pride” rally had been canceled, an informal gathering still was held on private property."
"05/29/2010","Frankfort Township","IL","Rally","A small ""white pride"" gathering was held after a larger rally was cancelled."
"05/29/2010","Seattle","WA","Vandalism","A black man and an Asian man beat a 16-year-old boy for being white."
"05/27/2010","Santa Ana","CA","Legal Developments","Arash Riazati, 31, was charged with felony aggravated assault, felony hate crime-motivated assault and misdemeanor violation of civil rights by causing property damage after he allegedly threatened two Latino men with a metal chain."
"05/27/2010","Portland","OR","Leafletting","Flyers from the racist skinhead group Blood & Honour American Division were placed on lawns."
"05/26/2010","Riverside","CA","Murder","A gang member killed two teens because they were Latino and was charged with two counts of murder and committing a hate crime."
"05/26/2010","Shreveport","LA","Legal Developments","Daniel Earl Danforth, 31, was sentenced to four years in prison for his involvement in lighting a cross near the homes and a cousin and her black boyfriend. Danforth was convicted of hate crime and obstruction of justice charges in January."
"05/24/2010","Miami","FL","Vandalism","A digital road sign was reprogrammed with anti-immigration messages reading 'NO LATINOS' and 'NO TACOS.'"
"05/24/2010","Port Richmond","NY","Legal Developments","Joseph Papapietro, 25, pled guilty to a misdemeanor count of criminal mischief for ramming his truck into three Mexican-owned businesses in 2008 and was sentenced to a one-year conditional discharge after he was found mentally unfit to stand trial in October."
"05/23/2010","Los Angeles","CA","Vandalism","The numerals `666` were scrawled in the kitchen of a Catholic church, a knife was stuck into a religious painting and feces were left in the church's auditorium."
"05/23/2010","Richmond","VA","Assault","A man was beaten while the assailants shouted racist comments."
"05/22/2010","Anson","ME","Vandalism","Fliers from the skinhead group Blood & Honour American Division were left on lawns."
"05/21/2010","Richmond","CA","Assault","Three Latino men allegedly shouted racial slurs and beat a white man."
"05/19/2010","West Allis","WI","Vandalism","A man burned an effigy of President Obama."
"05/18/2010","Worcester","MA","Legal Developments","Douglas Griffin, 23, pled guilty to assault, threatening, assault or battery to intimidate, a civil rights violation and wanton destruction of property for using racial slurs and assaulting a black couple at a convenience store in 2008. Griffin was sentenced to two years in prison, but suspended the sentence for three years of probation."
"05/18/2010","Ashland","OR","Legal Developments","Two Southern Oregon University students, Kevin Novotny, 20, and Blake Adkins, 19, were charged with criminal mischief for allegedly scrawling anti-gay graffiti in a dormitory on the campus. Adkins also faces a charge of intimidation."
"05/18/2010","Beaumont","TX","Vandalism","Letters on a sign outside a school district administration building were rearranged apparently in an attempt to spell a racial slur."
"05/18/2010","Bedford","VA","Legal Developments","Darrell Bruce Orange, 50, was sentenced to nine months in jail after pleading guilty to burning a cross on an interracial couple's lawn in November."
"05/17/2010","Portland","OR","Harassment","A white supremacist, pleaded guilty to mailing a noose to the president of the Lima, Ohio, chapter of the NAACP."
"05/16/2010","San Francisco","CA","Legal Developments","Katherine Dunbar, 24, was charged with felony vandalism and hate crime for allegedly spray-painting swastikas and the letters `KKK` on several buildings, vehicles and portable toilets between January and May."
"05/16/2010","Shreveport","LA","Vandalism","Several historic Jewish graves were desecrated."
"05/16/2010","Nassau","NY","Vandalism","Two swastikas were scrawled on the doors of a synagogue."
"05/14/2010","San Diego","CA","Harassment","A man used racial slurs during an attack on an Afghan-American taxi driver."
"05/14/2010","Cedar Springs","TX","Assault","Two men were allegedly beaten with baseball bats and robbed by four men who yelled anti-gay slurs."
"05/13/2010","Norfolk","VA","Legal Developments","John Edward Grogan, 30, a member of the skinhead group Volksfront, was sentenced to 20 years in prison, with all but five years suspended, for putting anti- Semitic stickers on two synagogues in 2009."
"05/11/2010","Athens","LA","Legal Developments","Joshua James Moro, 23, was charged with conspiring to interfere with another person's civil rights after he allegedly participated in a cross burning near an interracial couple's home in October 2008."
"05/11/2010","Minneapolis","MN","Leafletting","The United Northern and Southern Knights of the Ku Klux Klan distributed fliers."
"05/10/2010","Chicago","IL","Vandalism","An art display about hate crimes in a  gallery at the School of the Art Institute was defaced with the words 'kill all' and 'Arabs.'"
"05/10/2010","Bucksport","ME","Leafletting","The Bucksport Bay White Youth Pride Party distributed fliers inviting young people to join."
"05/10/2010","Dumfries","VA","Legal Developments","Joseph W. Barnes, 18, was charged with destruction and defacing property for allegedly placing swastika stickers at a high school for several weeks."
"05/09/2010","Jacksonville","FL","Bombing","A homemade pipe bomb exploded at an Islamic center."
"05/09/2010","Fort Wayne","IN","Murder","A man was beaten to death after being told to leave a party because he was gay, according to the victim's friend and court documents."
"05/09/2010","Bronx","NY","Leafletting","White supremacist fliers were placed on cars in the parking lot of a high school."
"05/09/2010","Fond du Lac","WI","Leafletting","Racist fliers were left on cars in a high school parking lot."
"05/08/2010","Farmington","NM","Arson","Three men forcibly branded a mentally challenged resident with a swastika."
"05/05/2010","Phoenix","AZ","Murder","Gary Thomas Kelley, 50, was charged with second-degree murder and hate crime after he allegedly shouted racial epithets and fatally shot Juan Varela, a 44-year-old Mexican-American man, in May."
"05/05/2010","Joppa","MD","Assault","James A. Kimble, 20, was charged with first-degree assault and hate crimes for allegedly hitting an off-duty black police officer in the eye with a glass beer mug at a bar while hurling racial epithets and threatening to hang him."
"05/05/2010","Cape Girardea","MO","Assault","Two men allegedly yelled racial slurs and attacked a black man. Brothers Jerry Conrad, 23, and Timothy R. Conrad, 18, were charged with third-degree felony assault as a hate crime."
"05/05/2010","Norfolk","VA","Legal Developments","Christopher John Brooks pled guilty to injury to a cemetery or church for placing anti-Semitic stickers on a synagogue and other places of worship in 2009. Brooks received a five-year prison sentence, all of which was suspended except for the year Brooks spent in jail since his April 2009 arrest."
"05/03/2010","Bedford","VA","Legal Developments","Darrell Bruce Orange, 50, was charged with burning a cross with intent to intimidate for allegedly leaving a burning cross in an interracial couple's yard in November."
"05/02/2010","Des Plaines","IL","Legal Developments","Thomas Brodnicki, 45, was sentenced to three years in prison for sending disturbing E-mail messages to a woman he had been stalking physically and electronically for years, including demands that she marry him in order to have a 'blue-eyed, blonde-haired' baby."
"05/01/2010","Castroville","CA","Vandalism","Joseph Hardy, 32, was charged with suspicion of vandalism and a hate crime for allegedly spitting on and vandalizing a sport-utility vehicle decorated with Mexican flags."
"04/30/2010","Plainfield","NJ","Legal Developments","Two black youths, Andre Lee Rollins Jr., 18, and a 16-year-old, were charged with a bias intimidation, robbery and aggravated assault after they allegedly used racial epithets while robbing a Latino man."
"04/30/2010","Brookhaven","NY","Harassment","Nicholas Kohler, 21, was charged with aggravated harassment for allegedly yelling ethnic slurs at Latino men outside a restaurant."
"04/29/2010","Middle River","MD","Harassment","A dead raccoon was found hanging from a noose in front of the residence of a family who emigrated from Africa."
"04/28/2010","Shelton","WA","Vandalism","A cross with three nooses tied to it was left at the home of an Alaskan Indian family and the tires of the family's car were slashed."
"04/25/2010","Phoenix","AZ","Vandalism","Refried beans were used to smear a swastika on the glass door of the House and Senate buildings at the state Capitol and the words 'AZ=Nazi' on the sidewalk outside of the buildings."
"04/24/2010","Sandy Springs","GA","Vandalism","Racist graffiti, including swastikas, was left on several cars."
"04/23/2010","Long Beach","CA","Assault","A transgendered student was attacked inside a campus restroom at California State University."
"04/23/2010","Bennington","VT","Assault","A man who allegedly identified himself as a Nazi and his girlfriend allegedly used racial epithets while threatening several people, including a biracial child, with a BB handgun. Sara B. Ennis, 28, was charged with three counts of aggravated assault with a deadly weapon and a misdemeanor charge of reckless endangerment."
"04/21/2010","Boston","MA","Legal Developments","Herbert Malloy and Hattie Boseman were charged with allegedly assaulting a female couple on New Year's Eve because of the couple's  sexual orientation."
"04/21/2010","Garden City","NY","Threat","Notes with racist and ethnic threats  were left on a desk in the nursing department of Nassau Community College."
"04/21/2010","Columbia","TN","Legal Developments","Jonathan Edward Stone, 20, was sentenced to six years in federal prison after he and two other men broke into a mosque in 2008, painted swastikas and racist phrases on it and then burned it to the ground."
"04/19/2010","Boca Raton","FL","Vandalism","A swastika was carved atop a Jewish newspaper rack."
"04/19/2010","Idaho Falls","ID","Vandalism","Rocks with derogatory messages about Mormons were thrown through windows at the Church of Jesus Christ of Latter-day Saints."
"04/19/2010","Riverhead","NY","Legal Developments","The white teenager accused of killing an Ecuadorean immigrant in a racially motivated attack was convicted of manslaughter as a hate crime."
"04/19/2010","Florence","SC","Legal Developments","Three men were sentenced for threatening a black man with a chain saw in December, and taking his car and then using a gun to threaten two white men who were attempting to help the victim. Thomas Howard Blue Sr., 49, was sentenced to 156 months in prison; Thomas Howard Blue Jr., 29, was sentenced to 36 months; and Judson Hartley Talbert was sentenced to 108 months."
"04/18/2010","Danbury","CT","Vandalism","A noose was hung over a concert stage at Western Connecticut State University."
"04/18/2010","Coeur d'Alene","ID","Harassment","Ira G. Tankovich, 48, was convicted of conspiracy to commit disturbing the peace for allegedly using a racial slur while threatening a Latino man in August 2009."
"04/18/2010","Trenton","NJ","Legal Developments","Carl Hreha Jr., 28, a former computer technician for the state's Attorney General's Office, was found guilty of bias intimidation and computer theft after he programmed office computers to spew thousands of racist fliers from printers throughout the office in 2006."
"04/17/2010","Los Angeles","CA","Rally","Members of the neo-Nazi National Socialist Movement rallied against illegal immigration."
"04/16/2010","Fort Lauderdale","FL","Vandalism","A swastika and ""KKK"" were spray painted on a sidewalk."
"04/15/2010","Fullerton","CA","Legal Developments","David Anthony Parga, a 24-year- old reputed member of a Latino street gang, was charged with one count of a special circumstances hate crime for the benefit of a street gang, one count of street terrorism and a sentencing enhancement for criminal street gang activity and using a firearm in connection with the 2006 shooting death of a college student at a party in 2006. Prosecutors alleged Parga was motivated to commit the crime by his gang's hatred of blacks."
"04/15/2010","Newport","KY","Vandalism","Swastikas were spray painted on a car."
"04/15/2010","San Antonio","TX","Legal Developments","Cody Carmichael, 21, was charged with murder as a hate crime in the Feb. 21 shooting death of 24- year-old Troy Martinez Clattenburg allegedly because of Clattenburg's sexual orientation."
"04/13/2010","Boulder","CO","Vandalism","A 16-year-old student was arrested for writing a racist death threat on a cafeteria table."
"04/13/2010","Naples","FL","Vandalism","A county commission candidate's campaign signs were defaced with references to Hitler."
"04/13/2010","Roanoke","VA","Legal Developments","Bill White, a neo-Nazi, was sentenced to 2.5 years in prison for making online threats."
"04/12/2010","Los Angeles","CA","Threat","Four Hispanic teenagers were charged with a hate crime after threatening local Jewish residents with a baseball bat."
"04/12/2010","Washington","DC","Legal Developments","A man was found guilty of a hate crime in the assault of a group of lesbians in September 2009."
"04/12/2010","Ashland","OR","Vandalism","Anti-gay graffiti was written on a dorm at Southern Oregon University."
"04/11/2010","Leoni Township","MI","Vandalism","Racist graffiti reading “No crime. No Blacks” was written on the side of a house."
"04/11/2010","Wayne","NJ","Vandalism","Swastikas and the words ""I love Hitler"" were painted on an elementary school."
"04/11/2010","Manhattan","NY","Legal Developments","Three teenagers were charged with a hate crime over the series of attacks on elderly Asian women."
"04/11/2010","Lubbock","TX","Leafletting","Fliers from the Traditional Christian Knights of the Ku Klux Klan were left in a parking lot at Texas Tech University."
